ID,Phylum,Class,Order,Family,Genus,Species,Similarity,Status,Flags
>otu1,Arthropoda,Malacostraca,Isopoda,,,,,Published,1 2    
>otu2,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,vulgare,100,Published,1
>otu3,Arthropoda,Insecta,Coleoptera,Curculionidae,Naupactus,cervinus,100,Private,       
>otu4,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Nalassus,,97.18,Published,       
>otu5,Nematoda,Chromadorea,Rhabditida,Steinernematidae,,,90.48,Published,4
>otu6,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Nemobius,sylvestris,100,Published,       
>otu7,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,vulgare,100,Published,1
>otu8,Arthropoda,Insecta,Diptera,,,,88.51,Published,2
>otu9,Annelida,Clitellata,Crassiclitellata,Lumbricidae,,,90.23,Private,3
>otu10,Arthropoda,Malacostraca,Isopoda,Porcellionidae,,,91.27,Private,2
>otu11,Nematoda,Chromadorea,Rhabditida,,,,86.84,Published,2
>otu12,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,peregrina,100,Published,       
>otu13,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu14,Nematoda,Chromadorea,Rhabditida,Steinernematidae,,,91.27,Published,4
>otu15,Arthropoda,Insecta,Orthoptera,Trigonidiidae,Nemobius,sylvestris,100,Private,       
>otu16,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Eluma,caelata,99.44,Published,       
>otu17,Arthropoda,Insecta,Diptera,Lauxaniidae,,,92.76,Published,1 2    
>otu18,Arthropoda,Insecta,Hemiptera,Pentatomidae,,,,Published,2
>otu19,Acanthocephala,Palaeacanthocephala,Polymorphida,Plagiorhynchidae,Plagiorhynchus,transversus,98.83,Published,       
>otu20,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,friendi,100,Published,       
>otu21,Magnoliophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,deltoides,100,Published,2
>otu22,Arthropoda,Insecta,Lepidoptera,Tineidae,Opogona,omoscopa,100,Private,3
>otu23,Arthropoda,Thecostraca,Sessilia,Chthamalidae,,,,Published,       
>otu24,Mollusca,Gastropoda,Stylommatophora,Cochlicopidae,Cochlicopa,lubrica,100,Private,2
>otu25,Arthropoda,Arachnida,Trombidiformes,Ereynetidae,,,100,Private,    3 4
>otu26,Arthropoda,Insecta,Diptera,,,,95.06,Private,  2 3  
>otu27,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,vulgare,100,Private,1
>otu28,Chlorophyta,Trebouxiophyceae,,,,,80.46,Published,2
>otu29,Chordata,Mammalia,Pholidota,Manidae,,,91.36,Private,  2 3  
>otu30,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,occidentalis,100,Published,2
>otu31,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu32,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu33,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,terrestris,100,Published,       
>otu34,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,Polydesmus,coriaceus,100,Private,       
>otu35,Zygomycota,,,,,,100,Private,3
>otu36,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,terrestris,100,Published,1
>otu37,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,scaber,100,Private,3
>otu38,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu39,Arthropoda,Insecta,Diptera,Culicidae,,,91.03,Private,2
>otu40,Nematoda,Chromadorea,Rhabditida,,,,90.3,Private,  2 3  
>otu41,Arthropoda,Insecta,Hemiptera,Pentatomidae,,,,Published,2
>otu42,Nematoda,Chromadorea,Rhabditida,,,,87.5,Published,2
>otu43,Arthropoda,Insecta,Diptera,Milichiidae,Pholeomyia,,95.06,Private,       
>otu44,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,marci,100,Private,  2 3  
>otu45,Chlorophyta,Trebouxiophyceae,,,,,80.46,Published,2
>otu46,Arthropoda,Insecta,Hemiptera,Aphrophoridae,Philaenus,spumarius,100,Private,  2 3  
>otu47,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,chlorotica L2,100,Published,
>otu48,Chordata,Actinopterygii,,,,,75.31,Published,2
>otu49,Mollusca,Polyplacophora,,,,,76,Published,2
>otu50,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,eugeniata,100,Published,2
>otu51,Arthropoda,Malacostraca,Isopoda,Oniscidae,Oniscus,asellus,98.15,Published,       
>otu52,Nematoda,Chromadorea,Rhabditida,Rhabditidae,,,98.21,Published,       
>otu53,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Eluma,caelata,98.87,Published,       
>otu54,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Phasmarhabditis,papillosa,100,Published,4
>otu55,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,,,93.33,Private,2
>otu56,Chordata,Actinopterygii,,,,,77.38,Published,2
>otu57,Arthropoda,Insecta,,,,,81.82,Private,  2 3  
>otu58,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Allolobophora,chlorotica L2,100,Published,       
>otu59,Arthropoda,Diplopoda,Julida,Julidae,Ommatoiulus,moreleti,99.44,Private,       
>otu60,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,,,92.66,Private,1 2    
>otu61,Chordata,Mammalia,Primates,Hominidae,Homo,sapiens,100,Published,       
>otu62,Mollusca,Gastropoda,Pulmonata,Cochlicellidae,Cochlicella,barbara,100,Private,       
>otu63,No Match,No Match,No Match,No Match,No Match,No Match,,,
>otu64,Nematoda,Chromadorea,Rhabditida,,,,86.84,Published,2
>otu65,Annelida,Clitellata,Crassiclitellata,Lumbricidae,,,90.8,Private,3
